state_code,state_full,international_visitors,visitor_share,rank,international_nights,international_expenditure_m,visitor_million,expenditure_billion
NSW,New South Wales,4168730.3058045856,0.3593764274234051,1,94991877.93740064,11740.096190171818,4.168730305804585,11.740096190171819
QLD,Queensland,2875301.9729199177,0.2478730152806067,2,46333424.86904404,5656.191607540006,2.875301972919918,5.656191607540006
VIC,Victoria,2651063.433903414,0.2285419386383528,3,73485242.25128065,8591.565680620626,2.651063433903414,8.591565680620626
WA,Western Australia,951398.1085555188,0.0820177915644933,4,27918976.46826789,2427.0593051495703,0.9513981085555188,2.4270593051495704
SA,South Australia,401796.2445843213,0.0346379085089278,5,10974130.566461677,1134.1462426126182,0.4017962445843213,1.134146242612618
ACT,Australian Capital Territory,214663.31194644552,0.018505618854444,6,5431068.756665371,626.5275335025772,0.21466331194644553,0.6265275335025772
TAS,Tasmania,211186.3821062357,0.018205880916819,7,2466337.222554804,356.8492422941668,0.2111863821062357,0.3568492422941668
NT,Northern Territory,125759.3645957776,0.0108414188129508,8,3461456.5817468124,235.0986197699028,0.1257593645957776,0.2350986197699028
