_id,Year_Month,Card_type,Travel_Mode,Trip
1279,Dec-2018,Employee,Ferry,5371
1280,Dec-2018,Free Travel,Ferry,2110
1281,Dec-2018,School Student,Ferry,2594
1282,Dec-2018,Senior/Pensioner,Ferry,187090
1283,Dec-2018,Sgl Trip Ferry Adult,Ferry,62404
1284,Dec-2018,Sgl Trip Ferry Child/Youth,Ferry,16424
1285,Dec-2018,Adult,Light Rail,610683
1286,Dec-2018,CTP,Light Rail,19441
1287,Dec-2018,Child/Youth,Light Rail,45017
1288,Dec-2018,Concession,Light Rail,24245
1289,Dec-2018,Day Pass without SAF,Light Rail,1
1290,Dec-2018,Employee,Light Rail,1259
1291,Dec-2018,Free Travel,Light Rail,858
1292,Dec-2018,School Student,Light Rail,2917
1293,Dec-2018,Senior/Pensioner,Light Rail,140990
1294,Dec-2018,Sgl Trip LR Adult,Light Rail,3036
1295,Dec-2018,Sgl Trip LR Child/Youth,Light Rail,711
1296,Dec-2018,Adult,Train,23050018
1297,Dec-2018,CTP,Train,400255
1298,Dec-2018,Child/Youth,Train,1319800
1299,Dec-2018,Concession,Train,1345643
1300,Dec-2018,Day Pass Child/Youth w/o SAF,Train,6
1301,Dec-2018,Day Pass without SAF,Train,366
1302,Dec-2018,Employee,Train,272003
1303,Dec-2018,Free Travel,Train,29670
1304,Dec-2018,School Student,Train,512431
1305,Dec-2018,Senior/Pensioner,Train,2815946
1306,Dec-2018,Sgl Trip Rail Adult,Train,306621
1307,Dec-2018,Sgl Trip Rail Child/Youth,Train,71697
1308,Jan-2019,Adult,Bus,14752879
1309,Jan-2019,Adult Single Bus Trip 1,Bus,110735
1310,Jan-2019,Adult Single Bus Trip 2,Bus,61336
1311,Jan-2019,Adult Single Bus Trip 3,Bus,20411
1312,Jan-2019,Child/Youth,Bus,1653909
1313,Jan-2019,Child/Youth Single Bus Trip 1,Bus,38810
1314,Jan-2019,Child/Youth Single Bus Trip 2,Bus,31393
1315,Jan-2019,Child/Youth Single Bus Trip 3,Bus,9539
1316,Jan-2019,Concession,Bus,1004593
1317,Jan-2019,Day Pass Child/Youth w/o SAF,Bus,18
1318,Jan-2019,Day Pass without SAF,Bus,725
1319,Jan-2019,Employee,Bus,85279
1320,Jan-2019,Free Travel,Bus,38510
1321,Jan-2019,On Demand,Bus,7041
1322,Jan-2019,Other,Bus,48037
1323,Jan-2019,School Student,Bus,205934
1324,Jan-2019,Senior/Pensioner,Bus,3970989
1325,Jan-2019,Adult,Ferry,1027527
1326,Jan-2019,CTP,Ferry,58537
1327,Jan-2019,Child/Youth,Ferry,196867
1328,Jan-2019,Concession,Ferry,26120
1329,Jan-2019,Day Pass without SAF,Ferry,8
1330,Jan-2019,Employee,Ferry,5535
1331,Jan-2019,Free Travel,Ferry,2397
1332,Jan-2019,School Student,Ferry,496
1333,Jan-2019,Senior/Pensioner,Ferry,222000
1334,Jan-2019,Sgl Trip Ferry Adult,Ferry,61360
1335,Jan-2019,Sgl Trip Ferry Child/Youth,Ferry,19149
1336,Jan-2019,Adult,Light Rail,440804
1337,Jan-2019,CTP,Light Rail,18576
1338,Jan-2019,Child/Youth,Light Rail,42875
1339,Jan-2019,Concession,Light Rail,18357
1340,Jan-2019,Day Pass without SAF,Light Rail,4
1341,Jan-2019,Employee,Light Rail,896
1342,Jan-2019,Free Travel,Light Rail,593
1343,Jan-2019,School Student,Light Rail,560
1344,Jan-2019,Senior/Pensioner,Light Rail,100259
1345,Jan-2019,Sgl Trip LR Adult,Light Rail,1740
1346,Jan-2019,Sgl Trip LR Child/Youth,Light Rail,569
1347,Jan-2019,Adult,Train,23174619
1348,Jan-2019,CTP,Train,559514
1349,Jan-2019,Child/Youth,Train,1511478
1350,Jan-2019,Concession,Train,1291370
1351,Jan-2019,Day Pass Child/Youth w/o SAF,Train,15
1352,Jan-2019,Day Pass without SAF,Train,493
1353,Jan-2019,Employee,Train,274738
1354,Jan-2019,Free Travel,Train,29386
1355,Jan-2019,School Student,Train,88704
1356,Jan-2019,Senior/Pensioner,Train,2671807
1357,Jan-2019,Sgl Trip Rail Adult,Train,250355
1358,Jan-2019,Sgl Trip Rail Child/Youth,Train,73085
1359,Feb-2019,Adult,Bus,15426206
1360,Feb-2019,Adult Single Bus Trip 1,Bus,99772
1361,Feb-2019,Adult Single Bus Trip 2,Bus,54290
1362,Feb-2019,Adult Single Bus Trip 3,Bus,17375
1363,Feb-2019,Child/Youth,Bus,1357664
1364,Feb-2019,Child/Youth Single Bus Trip 1,Bus,21631
1365,Feb-2019,Child/Youth Single Bus Trip 2,Bus,15276
1366,Feb-2019,Child/Youth Single Bus Trip 3,Bus,4340
1367,Feb-2019,Concession,Bus,1415444
1368,Feb-2019,Day Pass Child/Youth w/o SAF,Bus,46
1369,Feb-2019,Day Pass without SAF,Bus,659
1370,Feb-2019,Employee,Bus,87689
1371,Feb-2019,Free Travel,Bus,40466
1372,Feb-2019,On Demand,Bus,8098
1373,Feb-2019,Other,Bus,0
1374,Feb-2019,School Student,Bus,3034805
1375,Feb-2019,Senior/Pensioner,Bus,4130053
1376,Feb-2019,Adult,Ferry,876044
1377,Feb-2019,CTP,Ferry,47051
1378,Feb-2019,Child/Youth,Ferry,67142
1379,Feb-2019,Concession,Ferry,23079
1380,Feb-2019,Day Pass without SAF,Ferry,11
1381,Feb-2019,Employee,Ferry,4613
1382,Feb-2019,Free Travel,Ferry,2254
1383,Feb-2019,School Student,Ferry,3433
1384,Feb-2019,Senior/Pensioner,Ferry,191521
1385,Feb-2019,Sgl Trip Ferry Adult,Ferry,45285
1386,Feb-2019,Sgl Trip Ferry Child/Youth,Ferry,6282
1387,Feb-2019,Adult,Light Rail,613130
1388,Feb-2019,CTP,Light Rail,25195
1389,Feb-2019,Child/Youth,Light Rail,42123
1390,Feb-2019,Concession,Light Rail,29066
1391,Feb-2019,Day Pass without SAF,Light Rail,6
1392,Feb-2019,Employee,Light Rail,1354
1393,Feb-2019,Free Travel,Light Rail,1147
1394,Feb-2019,School Student,Light Rail,8614
1395,Feb-2019,Senior/Pensioner,Light Rail,164339
1396,Feb-2019,Sgl Trip LR Adult,Light Rail,2796
1397,Feb-2019,Sgl Trip LR Child/Youth,Light Rail,580
1398,Feb-2019,Adult,Train,24235381
1399,Feb-2019,CTP,Train,612866
1400,Feb-2019,Child/Youth,Train,1030042
1401,Feb-2019,Concession,Train,1692708
1402,Feb-2019,Day Pass Child/Youth w/o SAF,Train,15
1403,Feb-2019,Day Pass without SAF,Train,502
1404,Feb-2019,Employee,Train,299251
1405,Feb-2019,Free Travel,Train,32805
1406,Feb-2019,School Student,Train,1203113
1407,Feb-2019,Senior/Pensioner,Train,2837854
1408,Feb-2019,Sgl Trip Rail Adult,Train,235026
1409,Feb-2019,Sgl Trip Rail Child/Youth,Train,39201
1410,Mar-2019,Adult,Bus,16865038
1411,Mar-2019,Adult Single Bus Trip 1,Bus,104426
1412,Mar-2019,Adult Single Bus Trip 2,Bus,56005
1413,Mar-2019,Adult Single Bus Trip 3,Bus,18478
1414,Mar-2019,Child/Youth,Bus,1388228
1415,Mar-2019,Child/Youth Single Bus Trip 1,Bus,24315
1416,Mar-2019,Child/Youth Single Bus Trip 2,Bus,16792
1417,Mar-2019,Child/Youth Single Bus Trip 3,Bus,4803
1418,Mar-2019,Concession,Bus,2273012
1419,Mar-2019,Day Pass Child/Youth w/o SAF,Bus,90
1420,Mar-2019,Day Pass without SAF,Bus,989
1421,Mar-2019,Employee,Bus,94200
1422,Mar-2019,Free Travel,Bus,43399
1423,Mar-2019,On Demand,Bus,9767
1424,Mar-2019,Other,Bus,0
1425,Mar-2019,School Student,Bus,3406548
1426,Mar-2019,Senior/Pensioner,Bus,4436133
1427,Mar-2019,Adult,Ferry,891646
1428,Mar-2019,CTP,Ferry,52039
1429,Mar-2019,Child/Youth,Ferry,69720
1430,Mar-2019,Concession,Ferry,28579
1431,Mar-2019,Day Pass Child/Youth w/o SAF,Ferry,6
1432,Mar-2019,Day Pass without SAF,Ferry,13
1433,Mar-2019,Employee,Ferry,4519
1434,Mar-2019,Free Travel,Ferry,2303
1435,Mar-2019,School Student,Ferry,3635
1436,Mar-2019,Senior/Pensioner,Ferry,195448
1437,Mar-2019,Sgl Trip Ferry Adult,Ferry,46412
1438,Mar-2019,Sgl Trip Ferry Child/Youth,Ferry,6437
1439,Mar-2019,Adult,Light Rail,696793
1440,Mar-2019,CTP,Light Rail,32869
1441,Mar-2019,Child/Youth,Light Rail,45828
1442,Mar-2019,Concession,Light Rail,43393
1443,Mar-2019,Day Pass Child/Youth w/o SAF,Light Rail,1
1444,Mar-2019,Day Pass without SAF,Light Rail,15
1445,Mar-2019,Employee,Light Rail,1817
1446,Mar-2019,Free Travel,Light Rail,1409
1447,Mar-2019,School Student,Light Rail,9944
1448,Mar-2019,Senior/Pensioner,Light Rail,173382
1449,Mar-2019,Sgl Trip LR Adult,Light Rail,3569
1450,Mar-2019,Sgl Trip LR Child/Youth,Light Rail,1046
1451,Mar-2019,Adult,Train,26870901
1452,Mar-2019,CTP,Train,715994
1453,Mar-2019,Child/Youth,Train,1091466
1454,Mar-2019,Concession,Train,2792174
1455,Mar-2019,Day Pass Child/Youth w/o SAF,Train,54
1456,Mar-2019,Day Pass without SAF,Train,685
1457,Mar-2019,Employee,Train,330137
1458,Mar-2019,Free Travel,Train,34783
1459,Mar-2019,School Student,Train,1321749
1460,Mar-2019,Senior/Pensioner,Train,3059039
1461,Mar-2019,Sgl Trip Rail Adult,Train,268079
1462,Mar-2019,Sgl Trip Rail Child/Youth,Train,45205
1463,Apr-2019,Adult,Bus,14959627
1464,Apr-2019,Adult Single Bus Trip 1,Bus,93026
1465,Apr-2019,Adult Single Bus Trip 2,Bus,48668
1466,Apr-2019,Adult Single Bus Trip 3,Bus,17329
1467,Apr-2019,Child/Youth,Bus,1449736
1468,Apr-2019,Child/Youth Single Bus Trip 1,Bus,27868
1469,Apr-2019,Child/Youth Single Bus Trip 2,Bus,21897
1470,Apr-2019,Child/Youth Single Bus Trip 3,Bus,6122
1471,Apr-2019,Concession,Bus,1834882
1472,Apr-2019,Day Pass Child/Youth w/o SAF,Bus,48
1473,Apr-2019,Day Pass without SAF,Bus,773
1474,Apr-2019,Employee,Bus,85255
1475,Apr-2019,Free Travel,Bus,38720
1476,Apr-2019,On Demand,Bus,9784
1477,Apr-2019,School Student,Bus,1735455
1478,Apr-2019,Senior/Pensioner,Bus,4113032
1479,Apr-2019,Adult,Ferry,917392
1480,Apr-2019,CTP,Ferry,54154
1481,Apr-2019,Child/Youth,Ferry,149389
1482,Apr-2019,Concession,Ferry,25473
1483,Apr-2019,Day Pass without SAF,Ferry,12
1484,Apr-2019,Employee,Ferry,4575
1485,Apr-2019,Free Travel,Ferry,2306
1486,Apr-2019,School Student,Ferry,1955
1487,Apr-2019,Senior/Pensioner,Ferry,211530
1488,Apr-2019,Sgl Trip Ferry Adult,Ferry,49727
1489,Apr-2019,Sgl Trip Ferry Child/Youth,Ferry,15970
1490,Apr-2019,Adult,Light Rail,610905
1491,Apr-2019,CTP,Light Rail,31478
1492,Apr-2019,Child/Youth,Light Rail,57364
1493,Apr-2019,Concession,Light Rail,33409
1494,Apr-2019,Day Pass without SAF,Light Rail,5
1495,Apr-2019,Employee,Light Rail,1496
1496,Apr-2019,Free Travel,Light Rail,1259
1497,Apr-2019,School Student,Light Rail,5178
1498,Apr-2019,Senior/Pensioner,Light Rail,159245
1499,Apr-2019,Sgl Trip LR Adult,Light Rail,3567
1500,Apr-2019,Sgl Trip LR Child/Youth,Light Rail,1620
1501,Apr-2019,Adult,Train,24276410
1502,Apr-2019,CTP,Train,710888
1503,Apr-2019,Child/Youth,Train,1331399
1504,Apr-2019,Concession,Train,2257676
1505,Apr-2019,Day Pass Child/Youth w/o SAF,Train,23
1506,Apr-2019,Day Pass without SAF,Train,658
1507,Apr-2019,Employee,Train,304321
1508,Apr-2019,Free Travel,Train,31756
1509,Apr-2019,School Student,Train,690414
1510,Apr-2019,Senior/Pensioner,Train,2898742
1511,Apr-2019,Sgl Trip Rail Adult,Train,241881
1512,Apr-2019,Sgl Trip Rail Child/Youth,Train,66510
1513,May-2019,Adult,Bus,16827324
1514,May-2019,Adult Single Bus Trip 1,Bus,93036
1515,May-2019,Adult Single Bus Trip 2,Bus,49965
1516,May-2019,Adult Single Bus Trip 3,Bus,16623
1517,May-2019,Child/Youth,Bus,1256375
1518,May-2019,Child/Youth Single Bus Trip 1,Bus,20657
1519,May-2019,Child/Youth Single Bus Trip 2,Bus,14135
1520,May-2019,Child/Youth Single Bus Trip 3,Bus,3968
1521,May-2019,Concession,Bus,1882427
1522,May-2019,Day Pass Child/Youth w/o SAF,Bus,68
1523,May-2019,Day Pass without SAF,Bus,787
1524,May-2019,Employee,Bus,99204
1525,May-2019,Free Travel,Bus,44534
1526,May-2019,On Demand,Bus,11130
1527,May-2019,School Student,Bus,3592972
1528,May-2019,Senior/Pensioner,Bus,4586037
1529,May-2019,Adult,Ferry,787055
1530,May-2019,CTP,Ferry,51727
1531,May-2019,Child/Youth,Ferry,66200
1532,May-2019,Concession,Ferry,24888
1533,May-2019,Day Pass Child/Youth w/o SAF,Ferry,178
1534,May-2019,Day Pass without SAF,Ferry,22
1535,May-2019,Employee,Ferry,5002
1536,May-2019,Free Travel,Ferry,2331
1537,May-2019,School Student,Ferry,3720
1538,May-2019,Senior/Pensioner,Ferry,201703
1539,May-2019,Sgl Trip Ferry Adult,Ferry,31501
1540,May-2019,Sgl Trip Ferry Child/Youth,Ferry,5522
1541,May-2019,Adult,Light Rail,625322
1542,May-2019,CTP,Light Rail,34183
1543,May-2019,Child/Youth,Light Rail,37874
1544,May-2019,Concession,Light Rail,36161
1545,May-2019,Day Pass Child/Youth w/o SAF,Light Rail,9
1546,May-2019,Day Pass without SAF,Light Rail,13
1547,May-2019,Employee,Light Rail,1537
1548,May-2019,Free Travel,Light Rail,1393
1549,May-2019,School Student,Light Rail,11280
1550,May-2019,Senior/Pensioner,Light Rail,161232
1551,May-2019,Sgl Trip LR Adult,Light Rail,2534
1552,May-2019,Sgl Trip LR Child/Youth,Light Rail,632
1553,May-2019,Adult,Metro,219429
1554,May-2019,CTP,Metro,7887
1555,May-2019,Child/Youth,Metro,6186
1556,May-2019,Concession,Metro,19058
1557,May-2019,Day Pass without SAF,Metro,5
1558,May-2019,Employee,Metro,3142
1559,May-2019,Free Travel,Metro,333
1560,May-2019,School Student,Metro,13436
1561,May-2019,Senior/Pensioner,Metro,24600
1562,May-2019,Sgl Trip Rail Adult,Metro,1696
1563,May-2019,Sgl Trip Rail Child/Youth,Metro,332
1564,May-2019,Adult,Train,27859455
1565,May-2019,CTP,Train,893575
1566,May-2019,Child/Youth,Train,972256
1567,May-2019,Concession,Train,2479155
1568,May-2019,Day Pass Child/Youth w/o SAF,Train,38
1569,May-2019,Day Pass without SAF,Train,626
1570,May-2019,Employee,Train,366432
1571,May-2019,Free Travel,Train,38389
1572,May-2019,School Student,Train,1461690
1573,May-2019,Senior/Pensioner,Train,3208060
1574,May-2019,Sgl Trip Rail Adult,Train,236129
1575,May-2019,Sgl Trip Rail Child/Youth,Train,46316
1576,Jun-2019,Adult,Bus,14504498
1577,Jun-2019,Adult Single Bus Trip 1,Bus,80555
1578,Jun-2019,Adult Single Bus Trip 2,Bus,42267
1579,Jun-2019,Adult Single Bus Trip 3,Bus,13191
1580,Jun-2019,Child/Youth,Bus,1175335
1581,Jun-2019,Child/Youth Single Bus Trip 1,Bus,19193
1582,Jun-2019,Child/Youth Single Bus Trip 2,Bus,13566
1583,Jun-2019,Child/Youth Single Bus Trip 3,Bus,3543
1584,Jun-2019,Concession,Bus,1555717
1585,Jun-2019,Day Pass Child/Youth w/o SAF,Bus,50
1586,Jun-2019,Day Pass without SAF,Bus,832
1587,Jun-2019,Employee,Bus,86459
1588,Jun-2019,Free Travel,Bus,37745
1589,Jun-2019,On Demand,Bus,9946
1590,Jun-2019,School Student,Bus,2754915
1591,Jun-2019,Senior/Pensioner,Bus,3942952
1592,Jun-2019,Adult,Ferry,756440
1593,Jun-2019,CTP,Ferry,55609
1594,Jun-2019,Child/Youth,Ferry,101453
1595,Jun-2019,Concession,Ferry,23397
1596,Jun-2019,Day Pass Child/Youth w/o SAF,Ferry,80
1597,Jun-2019,Day Pass without SAF,Ferry,8
1598,Jun-2019,Employee,Ferry,4698
1599,Jun-2019,Free Travel,Ferry,2020
1600,Jun-2019,School Student,Ferry,2963
1601,Jun-2019,Senior/Pensioner,Ferry,178127
1602,Jun-2019,Sgl Trip Ferry Adult,Ferry,32282
1603,Jun-2019,Sgl Trip Ferry Child/Youth,Ferry,9985
1604,Jun-2019,Adult,Light Rail,640884
1605,Jun-2019,CTP,Light Rail,35044
1606,Jun-2019,Child/Youth,Light Rail,48131
1607,Jun-2019,Concession,Light Rail,35869
1608,Jun-2019,Day Pass without SAF,Light Rail,11
1609,Jun-2019,Employee,Light Rail,1647
1610,Jun-2019,Free Travel,Light Rail,1098
1611,Jun-2019,School Student,Light Rail,8583
1612,Jun-2019,Senior/Pensioner,Light Rail,161787
1613,Jun-2019,Sgl Trip LR Adult,Light Rail,2841
1614,Jun-2019,Sgl Trip LR Child/Youth,Light Rail,785
1615,Jun-2019,Adult,Metro,1144461
1616,Jun-2019,CTP,Metro,34882
1617,Jun-2019,Child/Youth,Metro,112236
1618,Jun-2019,Concession,Metro,145218
1619,Jun-2019,Day Pass without SAF,Metro,6
1620,Jun-2019,Employee,Metro,10974
1621,Jun-2019,Free Travel,Metro,2296
1622,Jun-2019,School Student,Metro,92249
1623,Jun-2019,Senior/Pensioner,Metro,143843
1624,Jun-2019,Sgl Trip Rail Adult,Metro,12588
1625,Jun-2019,Sgl Trip Rail Child/Youth,Metro,7851
1626,Jun-2019,Adult,Train,23861758
1627,Jun-2019,CTP,Train,867911
1628,Jun-2019,Child/Youth,Train,1044267
1629,Jun-2019,Concession,Train,1808606
1630,Jun-2019,Day Pass Child/Youth w/o SAF,Train,17
1631,Jun-2019,Day Pass without SAF,Train,671
1632,Jun-2019,Employee,Train,326446
1633,Jun-2019,Free Travel,Train,32272
1634,Jun-2019,School Student,Train,1090865
1635,Jun-2019,Senior/Pensioner,Train,2807164
1636,Jun-2019,Sgl Trip Rail Adult,Train,218974
1637,Jun-2019,Sgl Trip Rail Child/Youth,Train,53349
1638,Jul-2019,Adult,Bus,15823165
1639,Jul-2019,Adult Single Bus Trip 1,Bus,87764
1640,Jul-2019,Adult Single Bus Trip 2,Bus,46970
1641,Jul-2019,Adult Single Bus Trip 3,Bus,11597
1642,Jul-2019,Child/Youth,Bus,1578565
1643,Jul-2019,Child/Youth Single Bus Trip 1,Bus,29117
1644,Jul-2019,Child/Youth Single Bus Trip 2,Bus,21315
1645,Jul-2019,Child/Youth Single Bus Trip 3,Bus,5469
1646,Jul-2019,Concession,Bus,1578007
1647,Jul-2019,Day Pass Child/Youth w/o SAF,Bus,61
1648,Jul-2019,Day Pass without SAF,Bus,900
1649,Jul-2019,Employee,Bus,95618
1650,Jul-2019,Free Travel,Bus,42759
1651,Jul-2019,On Demand,Bus,22584
1652,Jul-2019,School Student,Bus,1644170
1653,Jul-2019,Senior/Pensioner,Bus,4334952
1654,Jul-2019,Adult,Ferry,790593
1655,Jul-2019,CTP,Ferry,50349
1656,Jul-2019,Child/Youth,Ferry,148948
1657,Jul-2019,Concession,Ferry,22642
1658,Jul-2019,Day Pass Child/Youth w/o SAF,Ferry,83
1659,Jul-2019,Day Pass without SAF,Ferry,10
1660,Jul-2019,Employee,Ferry,4647
1661,Jul-2019,Free Travel,Ferry,1954
1662,Jul-2019,School Student,Ferry,1752
1663,Jul-2019,Senior/Pensioner,Ferry,185699
1664,Jul-2019,Sgl Trip Ferry Adult,Ferry,35865
1665,Jul-2019,Sgl Trip Ferry Child/Youth,Ferry,15817
1666,Jul-2019,Adult,Light Rail,669127
1667,Jul-2019,CTP,Light Rail,37082
1668,Jul-2019,Child/Youth,Light Rail,65526
1669,Jul-2019,Concession,Light Rail,33597
1670,Jul-2019,Day Pass without SAF,Light Rail,20
1671,Jul-2019,Employee,Light Rail,1502
1672,Jul-2019,Free Travel,Light Rail,1291
1673,Jul-2019,School Student,Light Rail,4780
1674,Jul-2019,Senior/Pensioner,Light Rail,169509
1675,Jul-2019,Sgl Trip LR Adult,Light Rail,2885
1676,Jul-2019,Sgl Trip LR Child/Youth,Light Rail,1653
1677,Jul-2019,Adult,Metro,1390001
1678,Jul-2019,CTP,Metro,36923
1679,Jul-2019,Child/Youth,Metro,164783
1680,Jul-2019,Concession,Metro,134159
1681,Jul-2019,Day Pass Child/Youth w/o SAF,Metro,1
1682,Jul-2019,Day Pass without SAF,Metro,22
1683,Jul-2019,Employee,Metro,10328
1684,Jul-2019,Free Travel,Metro,2159
1685,Jul-2019,School Student,Metro,45109
1686,Jul-2019,Senior/Pensioner,Metro,155990
1687,Jul-2019,Sgl Trip Rail Adult,Metro,10958
1688,Jul-2019,Sgl Trip Rail Child/Youth,Metro,8387
1689,Jul-2019,Adult,Train,25768860
1690,Jul-2019,CTP,Train,890275
1691,Jul-2019,Child/Youth,Train,1380506
1692,Jul-2019,Concession,Train,1800701
1693,Jul-2019,Day Pass Child/Youth w/o SAF,Train,27
1694,Jul-2019,Day Pass without SAF,Train,797
1695,Jul-2019,Employee,Train,351847
1696,Jul-2019,Free Travel,Train,35294
1697,Jul-2019,School Student,Train,646026
1698,Jul-2019,Senior/Pensioner,Train,2993919
1699,Jul-2019,Sgl Trip Rail Adult,Train,212479
1700,Jul-2019,Sgl Trip Rail Child/Youth,Train,67391
1701,Aug-2019,Adult,Bus,15900861
1702,Aug-2019,Adult Single Bus Trip 1,Bus,79217
1703,Aug-2019,Adult Single Bus Trip 2,Bus,40983
1704,Aug-2019,Adult Single Bus Trip 3,Bus,10600
1705,Aug-2019,CTP,Bus,45975
1706,Aug-2019,Child/Youth,Bus,1260371
1707,Aug-2019,Child/Youth Single Bus Trip 1,Bus,19594
1708,Aug-2019,Child/Youth Single Bus Trip 2,Bus,12843
1709,Aug-2019,Child/Youth Single Bus Trip 3,Bus,3384
1710,Aug-2019,Concession,Bus,1914213
1711,Aug-2019,Day Pass Child/Youth w/o SAF,Bus,113
1712,Aug-2019,Day Pass without SAF,Bus,905
1713,Aug-2019,Employee,Bus,94889
1714,Aug-2019,Free Travel,Bus,42665
1715,Aug-2019,On Demand,Bus,23135
1716,Aug-2019,School Student,Bus,3182243
1717,Aug-2019,Senior/Pensioner,Bus,4320530
1718,Aug-2019,Adult,Ferry,724780
1719,Aug-2019,CTP,Ferry,58355
1720,Aug-2019,Child/Youth,Ferry,80831
1721,Aug-2019,Concession,Ferry,22873
1722,Aug-2019,Day Pass Child/Youth w/o SAF,Ferry,349
1723,Aug-2019,Day Pass without SAF,Ferry,28
1724,Aug-2019,Employee,Ferry,3847
1725,Aug-2019,Free Travel,Ferry,1954
1726,Aug-2019,School Student,Ferry,3467
1727,Aug-2019,Senior/Pensioner,Ferry,168724
1728,Aug-2019,Sgl Trip Ferry Adult,Ferry,31988
1729,Aug-2019,Sgl Trip Ferry Child/Youth,Ferry,8804
1730,Aug-2019,Adult,Light Rail,673022
1731,Aug-2019,CTP,Light Rail,43751
1732,Aug-2019,Child/Youth,Light Rail,45254
1733,Aug-2019,Concession,Light Rail,41982
1734,Aug-2019,Day Pass without SAF,Light Rail,15
1735,Aug-2019,Employee,Light Rail,1651
1736,Aug-2019,Free Travel,Light Rail,1325
1737,Aug-2019,School Student,Light Rail,10457
1738,Aug-2019,Senior/Pensioner,Light Rail,168039
1739,Aug-2019,Sgl Trip LR Adult,Light Rail,2823
1740,Aug-2019,Sgl Trip LR Child/Youth,Light Rail,727
1741,Aug-2019,Adult,Metro,1437608.153
1742,Aug-2019,CTP,Metro,56587.36919
1743,Aug-2019,Child/Youth,Metro,85909.3975
1744,Aug-2019,Concession,Metro,251912.4727
1745,Aug-2019,Day Pass Child/Youth w/o SAF,Metro,2
1746,Aug-2019,Day Pass without SAF,Metro,11.28536
1747,Aug-2019,Employee,Metro,9626.619657
1748,Aug-2019,Free Travel,Metro,1974.199695
1749,Aug-2019,School Student,Metro,93320.3306
1750,Aug-2019,Senior/Pensioner,Metro,135069.6246
1751,Aug-2019,Sgl Trip Rail Adult,Metro,8621.263354
1752,Aug-2019,Sgl Trip Rail Child/Youth,Metro,3949.219067
1753,Aug-2019,Adult,Train,25583771
1754,Aug-2019,CTP,Train,1113001
1755,Aug-2019,Child/Youth,Train,948560
1756,Aug-2019,Concession,Train,2374111
1757,Aug-2019,Day Pass Child/Youth w/o SAF,Train,33
1758,Aug-2019,Day Pass without SAF,Train,939
1759,Aug-2019,Employee,Train,349886
1760,Aug-2019,Free Travel,Train,35716
1761,Aug-2019,School Student,Train,1273508
1762,Aug-2019,Senior/Pensioner,Train,2993017
1763,Aug-2019,Sgl Trip Rail Adult,Train,210421
1764,Aug-2019,Sgl Trip Rail Child/Youth,Train,44548
1765,Sep-2019,Adult,Bus,15217496
1766,Sep-2019,Adult Single Bus Trip 1,Bus,69894
1767,Sep-2019,Adult Single Bus Trip 2,Bus,35769
1768,Sep-2019,Adult Single Bus Trip 3,Bus,8661
1769,Sep-2019,CTP,Bus,286305
1770,Sep-2019,Child/Youth,Bus,1230301
1771,Sep-2019,Child/Youth Single Bus Trip 1,Bus,18939
1772,Sep-2019,Child/Youth Single Bus Trip 2,Bus,12737
1773,Sep-2019,Child/Youth Single Bus Trip 3,Bus,3586
1774,Sep-2019,Concession,Bus,1651851
1775,Sep-2019,Day Pass Child/Youth w/o SAF,Bus,64
1776,Sep-2019,Day Pass without SAF,Bus,965
1777,Sep-2019,Employee,Bus,91530
1778,Sep-2019,Free Travel,Bus,39795
1779,Sep-2019,On Demand,Bus,23624
1780,Sep-2019,School Student,Bus,2788612
1781,Sep-2019,Senior/Pensioner,Bus,4146158
1782,Sep-2019,Adult,Ferry,748378
1783,Sep-2019,CTP,Ferry,81461
1784,Sep-2019,Child/Youth,Ferry,83066
1785,Sep-2019,Concession,Ferry,23149
1786,Sep-2019,Day Pass Child/Youth w/o SAF,Ferry,273
1787,Sep-2019,Day Pass without SAF,Ferry,35
1788,Sep-2019,Employee,Ferry,4019
1789,Sep-2019,Free Travel,Ferry,2031
1790,Sep-2019,School Student,Ferry,2959
1791,Sep-2019,Senior/Pensioner,Ferry,173519
1792,Sep-2019,Sgl Trip Ferry Adult,Ferry,29810
1793,Sep-2019,Sgl Trip Ferry Child/Youth,Ferry,7458
1794,Sep-2019,Adult,Light Rail,575721
1795,Sep-2019,CTP,Light Rail,47200
1796,Sep-2019,Child/Youth,Light Rail,36991
1797,Sep-2019,Concession,Light Rail,34294
1798,Sep-2019,Day Pass Child/Youth w/o SAF,Light Rail,67
1799,Sep-2019,Day Pass without SAF,Light Rail,32
1800,Sep-2019,Employee,Light Rail,1354
1801,Sep-2019,Free Travel,Light Rail,1094
1802,Sep-2019,School Student,Light Rail,9169
1803,Sep-2019,Senior/Pensioner,Light Rail,148612
1804,Sep-2019,Sgl Trip LR Adult,Light Rail,2291
1805,Sep-2019,Sgl Trip LR Child/Youth,Light Rail,543
1806,Sep-2019,Adult,Metro,1395364
1807,Sep-2019,CTP,Metro,78623
1808,Sep-2019,Child/Youth,Metro,87350
1809,Sep-2019,Concession,Metro,188829
1810,Sep-2019,Day Pass without SAF,Metro,8
1811,Sep-2019,Employee,Metro,9631
1812,Sep-2019,Free Travel,Metro,1872
1813,Sep-2019,School Student,Metro,88990
1814,Sep-2019,Senior/Pensioner,Metro,127687
1815,Sep-2019,Sgl Trip Rail Adult,Metro,7742
1816,Sep-2019,Sgl Trip Rail Child/Youth,Metro,3881
