_id,Year_Month,Card_type,Travel_Mode,Trip
127,Oct-2016,Adult,Ferry,879150
128,Oct-2016,Child/Youth,Ferry,119399
129,Oct-2016,Concession,Ferry,24094
130,Oct-2016,Employee,Ferry,5435
131,Oct-2016,Free Travel,Ferry,2081
132,Oct-2016,School Student,Ferry,1594
133,Oct-2016,Senior/Pensioner,Ferry,187265
134,Oct-2016,Sgl Trip Ferry Adult,Ferry,52692
135,Oct-2016,Sgl Trip Ferry Child/Youth,Ferry,9442
136,Oct-2016,Adult,Light Rail,554854
137,Oct-2016,Child/Youth,Light Rail,39224
138,Oct-2016,Concession,Light Rail,26874
139,Oct-2016,Employee,Light Rail,1
140,Oct-2016,Free Travel,Light Rail,899
141,Oct-2016,School Student,Light Rail,4304
142,Oct-2016,Senior/Pensioner,Light Rail,147173
143,Oct-2016,Sgl Trip LR Adult,Light Rail,2916
144,Oct-2016,Sgl Trip LR Child/Youth,Light Rail,715
145,Oct-2016,Adult,Train,22608261
146,Oct-2016,Child/Youth,Train,1120560
147,Oct-2016,Concession,Train,2065326
148,Oct-2016,Employee,Train,289301
149,Oct-2016,Free Travel,Train,30205
150,Oct-2016,School Student,Train,759479
151,Oct-2016,Senior/Pensioner,Train,2859632
152,Oct-2016,Sgl Trip Rail Adult,Train,311836
153,Oct-2016,Sgl Trip Rail Child/Youth,Train,62233
154,Nov-2016,Adult,Bus,14203977
155,Nov-2016,Adult Single Bus Trip 1,Bus,190359
156,Nov-2016,Adult Single Bus Trip 2,Bus,122653
157,Nov-2016,Adult Single Bus Trip 3,Bus,48268
158,Nov-2016,Child/Youth,Bus,1142170
159,Nov-2016,Child/Youth Single Bus Trip 1,Bus,57618
160,Nov-2016,Child/Youth Single Bus Trip 2,Bus,33400
161,Nov-2016,Child/Youth Single Bus Trip 3,Bus,9669
162,Nov-2016,Concession,Bus,1391898
163,Nov-2016,Employee,Bus,76755
164,Nov-2016,Free Travel,Bus,36217
165,Nov-2016,School Student,Bus,2792634
166,Nov-2016,Senior/Pensioner,Bus,4316765
167,Nov-2016,Adult,Ferry,929645
168,Nov-2016,Child/Youth,Ferry,76663
169,Nov-2016,Concession,Ferry,25891
170,Nov-2016,Employee,Ferry,5914
171,Nov-2016,Free Travel,Ferry,2271
172,Nov-2016,School Student,Ferry,2150
173,Nov-2016,Senior/Pensioner,Ferry,195969
174,Nov-2016,Sgl Trip Ferry Adult,Ferry,57975
175,Nov-2016,Sgl Trip Ferry Child/Youth,Ferry,6023
176,Nov-2016,Adult,Light Rail,511961
177,Nov-2016,Child/Youth,Light Rail,28564
178,Nov-2016,Concession,Light Rail,25699
179,Nov-2016,Free Travel,Light Rail,776
180,Nov-2016,School Student,Light Rail,5599
181,Nov-2016,Senior/Pensioner,Light Rail,130118
182,Nov-2016,Sgl Trip LR Adult,Light Rail,2204
183,Nov-2016,Sgl Trip LR Child/Youth,Light Rail,344
184,Nov-2016,Adult,Train,23867512
185,Nov-2016,Child/Youth,Train,1036526
186,Nov-2016,Concession,Train,1707681
187,Nov-2016,Employee,Train,318627
188,Nov-2016,Free Travel,Train,33096
