group,category,visitors,visitor_share,order
Sydney,Top 5 regions,3529399.9379943586,0.30293830767477903,1
Melbourne,Top 5 regions,2551991.003914085,0.2190445541760615,2
Brisbane,Top 5 regions,1275027.1665131587,0.10943916213767509,4
Destination Perth,Top 5 regions,812857.0021263013,0.06976979909668984,3
Gold Coast,Top 5 regions,634683.7149755377,0.054476685527651454,6
All other top-20 regions,Other regions,2846597.9003144926,0.24433149138714302,99
